Regiao,MacroRegiao,Cobertura_florestal_pct,Num_fragmentos,Area_media_fragmento_ha,SHDI,Conectividade_0a100,Densidade_borda_m_ha,Area_nuclear_pct,Servicos_ecossistemicos_0a100,Desafio_Paisagem
Winterfell,The North,78.4,12,6533.0,0.68,88,18.5,72.1,85,"Winterfell possui 78% de cobertura florestal (Wolfswood). Qual elemento do modelo mancha-corredor-matriz predomina nesta paisagem? Justifique."
The Dreadfort,The North,64.2,24,2675.0,1.05,62,34.8,55.3,68,"Compare NP (24) e AREA_MN (2675 ha) com Winterfell. A paisagem de Dreadfort é mais ou menos fragmentada? Justifique com ambas as métricas."
White Harbor,The North,45.8,38,1205.0,1.42,41,48.2,38.6,52,"White Harbor tem o menor PLAND de The North. Usando a relação espécie-area (S = cA^z), o que se espera para a biodiversidade local comparada a Winterfell?"
Moat Cailin,The North,52.3,31,1688.0,1.28,48,42.7,44.2,58,"Moat Cailin é um gargalo entre o Norte e o Sul. Que função de corredor (conduto, filtro ou barreira) a paisagem exerce neste ponto estratégico?"
The Eyrie,The Vale,61.5,18,3417.0,0.92,72,28.4,58.7,76,"A paisagem do Vale é isolada por montanhas, mas tem alta conectividade interna (72). Explique como o relevo pode aumentar a conectividade estrutural mesmo com PLAND moderado."
Gulltown,The Vale,38.7,42,921.0,1.55,34,52.6,32.4,48,"Gulltown tem 42 fragmentos com area média de 921 ha. Se a largura de borda é 100 m e os fragmentos são circulares, estime a proporção de area nuclear."
Riverrun,The Riverlands,28.4,56,507.0,1.85,18,68.3,22.5,35,"Riverrun tem PLAND de 28%. Esta paisagem ultrapassou o limiar critico de fragmentação (20-30%)? Que consequências ecológicas esperar?"
Harrenhal,The Riverlands,22.1,62,356.5,1.92,12,75.4,15.8,28,"Harrenhal tem a maior ED (75,4 m/ha) e menor area nuclear (15,8%). Explique a relação causa-efeito entre densidade de borda e area nuclear funcional."
Lannisport,The Westerlands,35.6,44,809.0,1.62,30,55.8,28.7,42,"A mineração fragmentou a paisagem. Identifique o principal trade-off entre servicos de provisão (ouro) e servicos de regulação nesta região."
Casterly Rock,The Westerlands,42.8,36,1189.0,1.48,38,49.5,35.4,50,"Casterly Rock tem SHDI = 1,48 e Winterfell tem SHDI = 0,68. Qual paisagem é mais heterogênea? Isso é ecologicamente bom ou ruim? Depende de quê?"
Highgarden,The Reach,31.5,48,656.3,1.78,22,62.1,24.3,55,"Highgarden é o celeiro de Westeros. Por que uma paisagem com alto SHDI (1,78) pode ter baixo PLAND florestal (31,5%)? Relacione com uso agrícola."
Oldtown,The Reach,26.8,52,515.4,1.88,16,70.2,18.9,45,"Oldtown tem 52 fragmentos (NP). Se 12 deles têm area < 50 ha, qual a porcentagem de fragmentos abaixo do tamanho mínimo viável para grandes mamíferos?"
Storm's End,The Stormlands,55.7,22,2531.8,1.15,58,36.2,48.5,65,"Storm's End tem tempestades frequentes. Classifique esta paisagem segundo Tricart: meio estável, intergrade ou instável? Justifique."
Shipbreaker Bay,The Stormlands,48.3,28,1725.0,1.35,44,44.3,40.8,56,"Compare a conectividade de Shipbreaker Bay (44) com a de The Eyrie (72). Que fatores da matriz explicam a diferença?"
Sunspear,Dorne,18.6,35,531.4,1.72,15,58.7,12.4,32,"Sunspear tem o menor PLAND do jogo. Em qual categoria de serviço ecossistêmico (provisão, regulação, cultural, suporte) a perda é mais critica num ambiente árido?"
Sandstone,Dorne,24.2,30,807.0,1.58,20,53.4,17.6,38,"A matriz de Dorne é desértica. A conectividade funcional para lagartos (ectotérmicos) é maior ou menor que para aves florestais? Justifique com permeabilidade da matriz."
King's Landing,The Crownlands,20.5,58,353.4,1.95,10,78.8,13.2,30,"King's Landing tem a menor conectividade (10) e maior SHDI (1,95). Por que alta diversidade composicional coexiste com baixa conectividade? Relacione com urbanização."
Dragonstone,The Crownlands,56.8,8,7100.0,0.72,82,15.2,68.4,74,"Dragonstone é uma ilha com 8 fragmentos grandes. Compare com King's Landing (58 fragmentos). O isolamento insular protege ou ameaça a biodiversidade? Argumente com ambos os lados."
Pyke,Iron Islands,12.5,22,568.0,1.65,8,62.5,6.8,22,"Pyke tem PLAND de 12,5% e area nuclear de apenas 6,8%. Usando o conceito de limiar de percolação, esta paisagem ainda mantém conectividade estrutural?"
Harlaw,Iron Islands,16.8,18,933.0,1.52,14,54.8,10.5,26,"Proponha um plano de restauração ecológica para Harlaw priorizando: (a) qual tipo de elemento restaurar (mancha, corredor ou stepping stone); (b) onde posicioná-lo na paisagem."
